GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
E02000001,7375,4091,3284,7187,188,78,289.78,25.45034164,55.47118644,44.52881356,97.45084746,2.549152542
E02000002,6775,3156,3619,6724,51,49,216.15,31.34397409,46.58302583,53.41697417,99.24723247,0.752767528
E02000003,10045,4844,5201,10033,12,104,214.15,46.90637404,48.22299652,51.77700348,99.88053758,0.119462419
E02000004,6182,2950,3232,5937,245,53,249.28,24.79942234,47.71918473,52.28081527,96.03688127,3.963118732
E02000005,8562,4134,4428,8562,0,71,118.81,72.06464102,48.28311142,51.71688858,100,0
E02000007,8791,4099,4692,8672,119,68,173.58,50.64523563,46.6272324,53.3727676,98.64634285,1.353657149
E02000008,11569,5450,6119,11564,5,118,141.99,81.47756884,47.10865243,52.89134757,99.95678105,0.043218947
E02000009,8395,4080,4315,8376,19,75,96.06,87.39329586,48.60035736,51.39964264,99.77367481,0.226325194
E02000010,8615,4085,4530,8615,0,63,112.12,76.83731716,47.41729541,52.58270459,100,0
E02000011,6187,3046,3141,6086,101,74,159.39,38.81673882,49.23226119,50.76773881,98.36754485,1.632455148
E02000012,9888,4797,5091,9879,9,108,130.03,76.04398985,48.51334951,51.48665049,99.90898058,0.091019417
E02000013,8402,4033,4369,8396,6,70,130.46,64.40288211,48.00047608,51.99952392,99.92858843,0.071411569
E02000014,9402,4413,4989,9319,83,54,119.27,78.82954641,46.93682195,53.06317805,99.1172091,0.882790896
E02000015,7563,3635,3928,7549,14,80,136.18,55.53678954,48.06293799,51.93706201,99.81488827,0.185111728
E02000016,7676,4032,3644,7670,6,63,88.62,86.61701647,52.527358,47.472642,99.92183429,0.078165711
E02000017,8498,4524,3974,8468,30,89,87.65,96.9537935,53.23605554,46.76394446,99.64697576,0.353024241
E02000018,8890,4308,4582,8884,6,63,135.78,65.47356017,48.45894263,51.54105737,99.93250844,0.067491564
E02000019,8276,3997,4279,8234,42,78,303.77,27.24429667,48.2962784,51.7037216,99.49250846,0.507491542
E02000020,9276,4635,4641,9274,2,93,341.93,27.12835961,49.96765847,50.03234153,99.97843898,0.021561018
E02000021,7904,3797,4107,7798,106,76,288.04,27.44063325,48.03896761,51.96103239,98.65890688,1.341093117
E02000022,8777,4409,4368,8684,93,74,74.89,117.1985579,50.233565,49.766435,98.94041244,1.059587558
E02000023,6482,3160,3322,6482,0,49,174.52,37.14187486,48.75038568,51.24961432,100,0
E02000024,10156,4854,5302,9969,187,214,375.35,27.05741308,47.79440725,52.20559275,98.15872391,1.841276093
E02000025,7956,3823,4133,7929,27,140,240.19,33.12377701,48.05178482,51.94821518,99.66063348,0.339366516
E02000026,6313,3102,3211,6276,37,114,146.59,43.06569343,49.13670204,50.86329796,99.41390781,0.586092191
E02000027,9598,4548,5050,9499,99,119,167.45,57.31860257,47.38487185,52.61512815,98.96853511,1.031464889
E02000028,6166,3034,3132,6107,59,115,105.56,58.41227738,49.20531949,50.79468051,99.0431398,0.956860201
E02000029,8517,4137,4380,8507,10,121,168.45,50.56099733,48.57344135,51.42655865,99.88258777,0.117412234
E02000030,9130,4332,4798,9013,117,279,1457.87,6.262561134,47.44797371,52.55202629,98.71851041,1.281489595
E02000031,7294,3503,3791,7150,144,167,193.89,37.61926866,48.02577461,51.97422539,98.02577461,1.974225391
E02000032,7857,3813,4044,7825,32,137,139.78,56.20975819,48.52997327,51.47002673,99.59271987,0.407280132
E02000033,8537,4140,4397,8438,99,121,177.59,48.07140042,48.4947874,51.5052126,98.84034204,1.159657959
E02000034,8508,4059,4449,8450,58,147,155.82,54.60146323,47.70803949,52.29196051,99.31828867,0.681711331
E02000035,7965,3795,4170,7783,182,116,129.76,61.3825524,47.64595104,52.35404896,97.71500314,2.284996861
E02000036,10743,5215,5528,10689,54,183,179.47,59.85958656,48.54323746,51.45676254,99.49734711,0.50265289
E02000037,9741,4689,5052,9741,0,201,432.44,22.5256683,48.13674161,51.86325839,100,0
E02000038,10514,5220,5294,10285,229,158,176.25,59.65390071,49.64808826,50.35191174,97.82195168,2.178048317
E02000039,6675,3258,3417,6675,0,178,213.2,31.30863039,48.80898876,51.19101124,100,0
E02000040,7197,3410,3787,7094,103,150,515.51,13.96093189,47.38085313,52.61914687,98.56884813,1.431151869
E02000041,8811,4346,4465,8762,49,153,134.92,65.30536614,49.32470775,50.67529225,99.44387697,0.556123028
E02000042,10639,5241,5398,10458,181,127,121.25,87.7443299,49.2621487,50.7378513,98.29871228,1.701287715
E02000043,7696,3728,3968,7616,80,139,146.94,52.3751191,48.44074844,51.55925156,98.96049896,1.03950104
E02000044,8071,3772,4299,8071,0,123,110.74,72.88242731,46.73522488,53.26477512,100,0
E02000045,10237,5002,5235,10226,11,119,173.5,59.00288184,48.86197128,51.13802872,99.89254664,0.107453355
E02000046,7063,3445,3618,7000,63,86,96.93,72.86701744,48.77530794,51.22469206,99.10802775,0.89197225
E02000047,11373,5436,5937,11207,166,102,142.24,79.9564117,47.79741493,52.20258507,98.54040271,1.459597292
E02000048,9817,4713,5104,9817,0,187,308.42,31.82997212,48.00855659,51.99144341,100,0
E02000049,8503,4002,4501,8503,0,107,78.84,107.8513445,47.0657415,52.9342585,100,0
E02000050,10064,4863,5201,10052,12,124,212.05,47.4605046,48.32074722,51.67925278,99.88076312,0.119236884
E02000051,8647,4168,4479,8569,78,203,144.87,59.68799613,48.20168845,51.79831155,99.09795305,0.902046953
E02000052,9698,4695,5003,9698,0,129,96.92,100.0619067,48.41204372,51.58795628,100,0
E02000053,8697,4420,4277,8250,447,134,155.02,56.1024384,50.82212257,49.17787743,94.86029665,5.139703346
E02000054,7206,3552,3654,7175,31,112,150.02,48.03359552,49.29225645,50.70774355,99.56980294,0.430197058
E02000055,11130,5514,5616,10893,237,163,144.02,77.2809332,49.54177898,50.45822102,97.87061995,2.129380054
E02000056,9212,4319,4893,9042,170,245,322.71,28.54575315,46.88449848,53.11550152,98.15458098,1.845419019
E02000057,7484,3697,3787,7437,47,144,109.45,68.37825491,49.39871726,50.60128274,99.37199359,0.628006414
E02000058,10220,4805,5415,10177,43,234,181.33,56.36133017,47.01565558,52.98434442,99.57925636,0.42074364
E02000059,10459,5189,5270,10442,17,99,219.36,47.67961342,49.61277369,50.38722631,99.83746056,0.16253944
E02000060,10920,5364,5556,10693,227,332,123.27,88.58603066,49.12087912,50.87912088,97.92124542,2.078754579
E02000061,8013,3918,4095,7875,138,179,158.72,50.48513105,48.89554474,51.10445526,98.27779858,1.722201423
E02000062,6340,3091,3249,6302,38,60,183.85,34.48463421,48.75394322,51.24605678,99.40063091,0.599369085
E02000063,6971,3450,3521,6886,85,86,103.74,67.19683825,49.49074738,50.50925262,98.78066275,1.219337254
E02000064,6248,3014,3234,6016,232,100,79.44,78.65055388,48.23943662,51.76056338,96.28681178,3.71318822
E02000065,7666,3708,3958,7652,14,121,320.49,23.91962308,48.36942343,51.63057657,99.81737542,0.182624576
E02000066,9641,4593,5048,9599,42,123,157.29,61.29442431,47.64028628,52.35971372,99.56436054,0.435639456
E02000067,8750,4206,4544,8737,13,77,231.38,37.81657879,48.06857143,51.93142857,99.85142857,0.148571429
E02000068,7388,3598,3790,7388,0,66,227.17,32.5218999,48.70059556,51.29940444,100,0
E02000069,6194,2991,3203,6144,50,63,145.13,42.67897747,48.28866645,51.71133355,99.19276719,0.807232806
E02000070,7875,3788,4087,7875,0,93,185.59,42.43224312,48.1015873,51.8984127,100,0
E02000071,7300,3531,3769,7300,0,75,117.87,61.93263765,48.36986301,51.63013699,100,0
E02000072,11734,5620,6114,11726,8,114,437.53,26.81873243,47.89500597,52.10499403,99.93182206,0.068177944
E02000073,10724,5203,5521,10724,0,135,160,67.025,48.51734427,51.48265573,100,0
E02000074,7655,3576,4079,7573,82,50,112.9,67.80336581,46.71456564,53.28543436,98.9288047,1.071195297
E02000075,7948,3865,4083,7920,28,108,153.52,51.77175612,48.62858581,51.37141419,99.64771012,0.352289884
