GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
E06000001,92028,44751,47277,91091,937,780,9386.11,9.804700776,48.6275916,51.3724084,98.98183162,1.018168384
E06000002,138412,67732,70680,136156,2256,1040,5387.47,25.69146557,48.93506343,51.06493657,98.37008352,1.629916481
E06000003,135177,65655,69522,133929,1248,1096,24489.51,5.519791944,48.56965312,51.43034688,99.07676602,0.923233982
E06000004,191610,94082,97528,187959,3651,1991,20393.06,9.395843488,49.10077762,50.89922238,98.09456709,1.905432911
E06000005,105564,51483,54081,104111,1453,1218,19747.51,5.345686621,48.76946686,51.23053314,98.6235838,1.376416202
E06000006,125746,61368,64378,124874,872,1001,7909.52,15.89805702,48.80314284,51.19685716,99.30653858,0.693461422
E06000007,202228,100300,101928,198828,3400,2589,18065.39,11.19422277,49.59748403,50.40251597,98.31872935,1.681270645
E06000008,147489,73547,73942,145827,1662,1467,13701.18,10.76469326,49.86609171,50.13390829,98.8731363,1.126863698
E06000009,142065,69775,72290,137960,4105,1073,3488.1,40.72847682,49.1148418,50.8851582,97.1104776,2.889522402
E06000010,256406,128420,127986,252748,3658,1488,7144.92,35.88647599,50.0846314,49.9153686,98.57335632,1.426643682
E06000011,334179,163388,170791,326951,7228,4469,240767.65,1.38797301,48.89236008,51.10763992,97.83708731,2.162912691
E06000012,159616,78247,81369,157786,1830,1387,19184.49,8.320054377,49.02202787,50.97797213,98.8534984,1.146501604
E06000013,167446,82623,84823,165871,1575,1777,84631.29,1.978535362,49.3430718,50.6569282,99.05939825,0.940601746
E06000014,198051,96254,101797,190392,7659,2638,27193.63,7.282992377,48.60061297,51.39938703,96.13281428,3.867185725
E06000015,248752,123046,125706,244625,4127,2431,7803.11,31.87857149,49.46533093,50.53466907,98.34091786,1.659082138
E06000016,329839,162884,166955,321527,8312,3332,7331.48,44.98941551,49.38288074,50.61711926,97.47998266,2.520017342
E06000017,37369,18915,18454,34252,3117,842,38151.51,0.979489409,50.61682143,49.38317857,91.65886162,8.341138377
E06000018,305680,153777,151903,289738,15942,2556,7461.16,40.96950072,50.3065297,49.6934703,94.78474221,5.215257786
E06000019,183477,90302,93175,180595,2882,3080,217973.24,0.84174094,49.21706808,50.78293192,98.42923091,1.570769088
E06000020,166641,82549,84092,164440,2201,1813,29031.32,5.740042134,49.5370287,50.4629713,98.6791966,1.320803404
E06000021,249008,123995,125013,246075,2933,1545,9345.02,26.64606389,49.7955889,50.2044111,98.8221262,1.177873803
E06000022,176016,86072,89944,169977,6039,2937,34574.08,5.090981452,48.90009999,51.09990001,96.5690619,3.430938097
E06000023,428234,213071,215163,418814,9420,3927,10960.76,39.06973604,49.75574102,50.24425898,97.80026808,2.199731922
E06000024,202566,98463,104103,199225,3341,2727,37378.6,5.419304094,48.60786114,51.39213886,98.35066102,1.649338981
E06000025,262767,130424,132343,258207,4560,2948,49694.56,5.287641142,49.6348476,50.3651524,98.26462227,1.73537773
E06000026,256384,126684,129700,251100,5284,1978,7983.36,32.11479878,49.41181977,50.58818023,97.93902896,2.060971043
E06000027,130959,63110,67849,127908,3051,1265,6287.4,20.82880046,48.19065509,51.80934491,97.67026321,2.329736788
E06000028,183491,91386,92105,179138,4353,1785,4617.88,39.7349,49.80407758,50.19592242,97.62767656,2.372323438
E06000029,147645,72121,75524,145103,2542,1718,6475.33,22.80115454,48.84757357,51.15242643,98.27830269,1.721697315
E06000030,209156,104618,104538,207858,1298,2098,23010.36,9.089644838,50.01912448,49.98087552,99.37941058,0.620589417
