GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
W00006187,317,152,165,317,0,1,7.35,43.1292517,47.94952681,52.05047319,100,0
W00006188,269,138,131,269,0,1,5.88,45.74829932,51.30111524,48.69888476,100,0
W00006189,294,142,152,294,0,2,3.59,81.89415042,48.29931973,51.70068027,100,0
W00006190,288,148,140,288,0,1,49.79,5.784294035,51.38888889,48.61111111,100,0
W00006191,188,87,101,185,3,4,78.56,2.393075356,46.27659574,53.72340426,98.40425532,1.595744681
W00006192,270,125,145,270,0,2,75.17,3.591858454,46.2962963,53.7037037,100,0
W00006193,240,120,120,240,0,0,9.37,25.61366062,50,50,100,0
W00006194,277,138,139,277,0,0,2.63,105.3231939,49.81949458,50.18050542,100,0
W00006195,318,154,164,318,0,2,25.59,12.42672919,48.42767296,51.57232704,100,0
W00006196,288,140,148,288,0,0,2.38,121.0084034,48.61111111,51.38888889,100,0
W00006197,308,146,162,308,0,1,4.31,71.46171694,47.4025974,52.5974026,100,0
W00006198,304,149,155,297,7,2,90.2,3.370288248,49.01315789,50.98684211,97.69736842,2.302631579
W00006199,283,142,141,283,0,1,3.62,78.17679558,50.17667845,49.82332155,100,0
W00006200,286,132,154,286,0,1,61.83,4.625586285,46.15384615,53.84615385,100,0
W00006201,246,120,126,246,0,0,17.31,14.21143847,48.7804878,51.2195122,100,0
W00006202,184,96,88,184,0,2,126.69,1.452364038,52.17391304,47.82608696,100,0
W00006203,260,138,122,260,0,1,10.51,24.73834443,53.07692308,46.92307692,100,0
W00006204,303,148,155,303,0,1,2.73,110.989011,48.84488449,51.15511551,100,0
W00006205,194,85,109,163,31,0,3.04,63.81578947,43.81443299,56.18556701,84.02061856,15.97938144
W00006206,364,180,184,364,0,4,19.14,19.01776385,49.45054945,50.54945055,100,0
W00006207,340,159,181,340,0,2,4.78,71.12970711,46.76470588,53.23529412,100,0
W00006208,223,106,117,223,0,1,5.85,38.11965812,47.53363229,52.46636771,100,0
W00006209,436,201,235,436,0,1,12.93,33.72003094,46.10091743,53.89908257,100,0
W00006210,292,131,161,292,0,0,5.02,58.16733068,44.8630137,55.1369863,100,0
W00006211,348,163,185,348,0,1,30.17,11.53463706,46.83908046,53.16091954,100,0
W00006212,275,130,145,275,0,1,272.53,1.009063222,47.27272727,52.72727273,100,0
W00006213,237,125,112,237,0,3,5.02,47.21115538,52.74261603,47.25738397,100,0
W00006214,362,181,181,362,0,3,169.13,2.140365399,50,50,100,0
W00006215,368,173,195,368,0,1,47.37,7.768629935,47.01086957,52.98913043,100,0
W00006216,231,121,110,231,0,0,10.5,22,52.38095238,47.61904762,100,0
W00006217,271,134,137,271,0,1,24.62,11.00731113,49.44649446,50.55350554,100,0
W00006218,312,153,159,312,0,0,21.22,14.70311027,49.03846154,50.96153846,100,0
W00006219,304,147,157,304,0,3,4.87,62.42299795,48.35526316,51.64473684,100,0
W00006220,305,148,157,305,0,1,4.57,66.73960613,48.52459016,51.47540984,100,0
W00006221,335,157,178,335,0,0,19.64,17.05702648,46.86567164,53.13432836,100,0
W00006222,246,128,118,246,0,0,16.42,14.9817296,52.03252033,47.96747967,100,0
W00006223,276,143,133,276,0,3,7.22,38.22714681,51.8115942,48.1884058,100,0
W00006224,247,124,123,247,0,1,5.6,44.10714286,50.20242915,49.79757085,100,0
W00006225,246,118,128,246,0,0,59.45,4.137931034,47.96747967,52.03252033,100,0
W00006226,355,170,185,355,0,0,4.71,75.37154989,47.88732394,52.11267606,100,0
W00006227,304,133,171,304,0,6,4.93,61.663286,43.75,56.25,100,0
W00006228,323,162,161,323,0,4,79.06,4.08550468,50.15479876,49.84520124,100,0
W00006229,222,106,116,222,0,1,8.18,27.1393643,47.74774775,52.25225225,100,0
W00006230,314,157,157,307,7,2,12.81,24.51209992,50,50,97.77070064,2.229299363
W00006231,223,115,108,223,0,0,6.67,33.43328336,51.56950673,48.43049327,100,0
W00006232,267,149,118,267,0,5,10.39,25.69778633,55.80524345,44.19475655,100,0
W00006233,297,138,159,297,0,0,4.37,67.96338673,46.46464646,53.53535354,100,0
W00006234,292,145,147,292,0,4,1.61,181.3664596,49.65753425,50.34246575,100,0
W00006235,248,125,123,248,0,2,3.74,66.31016043,50.40322581,49.59677419,100,0
W00006236,318,167,151,318,0,4,52.02,6.113033449,52.51572327,47.48427673,100,0
