GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
E00041435,306,147,159,306,0,5,41.13,7.439824945,48.03921569,51.96078431,100,0
E00041436,303,161,142,303,0,1,6.39,47.41784038,53.13531353,46.86468647,100,0
E00041437,274,134,140,274,0,3,15.12,18.12169312,48.90510949,51.09489051,100,0
E00041438,309,156,153,309,0,2,40.25,7.677018634,50.48543689,49.51456311,100,0
E00041439,278,127,151,278,0,1,5.87,47.35945486,45.68345324,54.31654676,100,0
E00041440,301,159,142,301,0,1,6.55,45.95419847,52.82392027,47.17607973,100,0
E00041441,313,163,150,313,0,0,5.39,58.07050093,52.07667732,47.92332268,100,0
E00041442,295,160,135,295,0,5,5.21,56.621881,54.23728814,45.76271186,100,0
E00041443,280,133,147,280,0,0,21.98,12.7388535,47.5,52.5,100,0
E00041444,321,149,172,321,0,2,6.4,50.15625,46.41744548,53.58255452,100,0
E00041445,292,139,153,292,0,3,16.98,17.196702,47.60273973,52.39726027,100,0
E00041446,281,139,142,281,0,2,9.96,28.21285141,49.46619217,50.53380783,100,0
E00041447,284,127,157,284,0,1,4.76,59.66386555,44.71830986,55.28169014,100,0
E00041448,383,183,200,383,0,1,5.43,70.53406998,47.78067885,52.21932115,100,0
E00041449,256,118,138,256,0,0,6.15,41.62601626,46.09375,53.90625,100,0
E00041450,268,128,140,268,0,2,8.12,33.00492611,47.76119403,52.23880597,100,0
E00041451,347,169,178,347,0,1,4.57,75.92997812,48.70317003,51.29682997,100,0
E00041452,319,152,167,319,0,3,6.63,48.11463047,47.64890282,52.35109718,100,0
E00041453,329,169,160,329,0,3,6.53,50.38284839,51.36778116,48.63221884,100,0
E00041454,366,159,207,366,0,1,4.34,84.33179724,43.44262295,56.55737705,100,0
E00041455,322,166,156,317,5,4,6.73,47.84546805,51.55279503,48.44720497,98.44720497,1.552795031
E00041456,267,125,142,267,0,0,4.55,58.68131868,46.8164794,53.1835206,100,0
E00041457,283,138,145,283,0,0,4.49,63.02895323,48.76325088,51.23674912,100,0
E00041458,293,138,155,293,0,1,3.78,77.51322751,47.09897611,52.90102389,100,0
E00041459,270,129,141,270,0,1,8.31,32.49097473,47.77777778,52.22222222,100,0
E00041460,366,175,191,366,0,9,262.72,1.393118149,47.81420765,52.18579235,100,0
E00041461,406,196,210,402,4,1,5.28,76.89393939,48.27586207,51.72413793,99.01477833,0.985221675
E00041462,246,129,117,246,0,0,3.59,68.52367688,52.43902439,47.56097561,100,0
E00041463,268,130,138,268,0,2,2.35,114.0425532,48.50746269,51.49253731,100,0
E00041464,272,131,141,272,0,1,4.1,66.34146341,48.16176471,51.83823529,100,0
E00041465,240,110,130,240,0,0,3.46,69.36416185,45.83333333,54.16666667,100,0
E00041466,293,139,154,293,0,1,11.99,24.43703086,47.44027304,52.55972696,100,0
E00041467,318,149,169,318,0,5,4.92,64.63414634,46.85534591,53.14465409,100,0
E00041468,347,142,205,254,93,1,12.7,27.32283465,40.9221902,59.0778098,73.19884726,26.80115274
E00041469,262,129,133,251,11,1,12.58,20.82670906,49.23664122,50.76335878,95.80152672,4.198473282
E00041470,249,110,139,249,0,0,1.66,150,44.17670683,55.82329317,100,0
E00041471,303,153,150,303,0,1,13.27,22.83345893,50.4950495,49.5049505,100,0
E00041472,308,143,165,308,0,2,7.14,43.1372549,46.42857143,53.57142857,100,0
E00041473,323,139,184,323,0,1,25.96,12.4422188,43.03405573,56.96594427,100,0
E00041474,286,150,136,286,0,0,6.72,42.55952381,52.44755245,47.55244755,100,0
E00041475,299,140,159,299,0,3,6.65,44.96240602,46.82274247,53.17725753,100,0
E00041476,242,110,132,242,0,4,918.45,0.263487397,45.45454545,54.54545455,100,0
E00041477,321,152,169,321,0,4,53.37,6.014614952,47.35202492,52.64797508,100,0
E00041478,277,136,141,277,0,7,14.19,19.52078929,49.09747292,50.90252708,100,0
E00041479,218,117,101,218,0,1,10.78,20.22263451,53.66972477,46.33027523,100,0
E00041480,314,145,169,314,0,2,24.18,12.98593879,46.17834395,53.82165605,100,0
E00041481,265,116,149,265,0,4,10.62,24.95291902,43.77358491,56.22641509,100,0
